Word,POS-tag,Sentence
will,MD,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
be,VB,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
lack,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
of,IN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
agreement,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
",",",","Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
lack,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
of,IN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
legitimacy,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
to,TO,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
the,DT,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
results,NNS,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
in,IN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
a,DT,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
very,RB,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
close,JJ,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
election,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
",",",","Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
and,CC,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
people,NNS,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
start,VBP,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
saying,VBG,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
",",",","Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
“,NNP,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
Well,NNP,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
",",",","Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
a,DT,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
whole,JJ,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
bunch,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
of,IN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
people,NNS,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
couldn,VBP,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
’,JJ,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
t,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
go,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
and,CC,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
vote,NN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
because,IN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
they,PRP,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
were,VBD,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
scared,VBN,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
”,NNS,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
?,.,"Do you think there is a risk that there’ll be—there will be some—there will be lack of agreement, lack of legitimacy to the results in a very close election, and people start saying, “Well, a whole bunch of people couldn’t go and vote because they were scared”?"
